PathId,OrderNumber,FromNode,ToNode,Length,AB_Wh,BA_Wh
1,1,1,70,26012,26012,26012
1,2,70,298,16558,16558,16558
1,3,298,71,50351,50351,50351
1,4,71,41,21602,21602,21602
1,5,41,33,8112,8112,8112
1,6,33,13,54504,54504,54504
1,7,13,72,14279,14279,14279
1,8,72,34,20651,20651,20651
1,9,34,43,17764,17764,17764
1,10,43,3,23282,23282,23282
2,1,1,293,26538,26538,26538
2,2,293,290,26792,26792,26792
2,3,290,6,25999,25999,25999
3,1,1,2,7638,7638,7638
3,2,2,46,47004,47004,47004
3,3,46,44,685,685,685
3,4,44,7,44848,44848,44848
4,1,1,293,26538,26538,26538
4,2,293,290,26792,26792,26792
4,3,290,6,25999,25999,25999
4,4,6,286,2710,2710,2710
4,5,286,287,33846,33846,33846
4,6,287,282,572,572,572
4,7,282,284,21012,21012,21012
4,8,284,281,317,317,317
4,9,281,279,39110,39110,39110
4,10,279,9,38886,38886,38886
5,1,1,293,26538,26538,26538
5,2,293,292,12626,12626,12626
5,3,292,21,742,742,742
5,4,21,10,39812,39812,39812
6,1,1,293,26538,26538,26538
6,2,293,292,12626,12626,12626
6,3,292,21,742,742,742
6,4,21,10,39812,39812,39812
6,5,10,11,70246,70246,70246
7,1,1,70,26012,26012,26012
7,2,70,298,16558,16558,16558
7,3,298,71,50351,50351,50351
7,4,71,41,21602,21602,21602
7,5,41,33,8112,8112,8112
7,6,33,13,54504,54504,54504
8,1,1,70,26012,26012,26012
8,2,70,298,16558,16558,16558
8,3,298,71,50351,50351,50351
8,4,71,41,21602,21602,21602
8,5,41,33,8112,8112,8112
8,6,33,14,7215,7215,7215
9,1,1,70,26012,26012,26012
9,2,70,298,16558,16558,16558
9,3,298,71,50351,50351,50351
9,4,71,41,21602,21602,21602
9,5,41,33,8112,8112,8112
9,6,33,14,7215,7215,7215
9,7,14,56,34466,34466,34466
9,8,56,15,1940,1940,1940
9,9,15,110,22693,22693,22693
9,10,110,17,29265,29265,29265
9,11,17,18,31021,31021,31021
9,12,18,19,1294,1294,1294
10,1,1,70,26012,26012,26012
10,2,70,298,16558,16558,16558
10,3,298,71,50351,50351,50351
10,4,71,41,21602,21602,21602
10,5,41,45,13550,13550,13550
10,6,45,85,5780,5780,5780
10,7,85,84,13617,13617,13617
10,8,84,142,24630,24630,24630
10,9,142,155,18718,18718,18718
10,10,155,154,7768,7768,7768
10,11,154,160,48527,48527,48527
10,12,160,116,38887,38887,38887
10,13,116,163,1610,1610,1610
10,14,163,162,5196,5196,5196
10,15,162,174,26069,26069,26069
10,16,174,172,6041,6041,6041
10,17,172,181,19792,19792,19792
10,18,181,198,5013,5013,5013
10,19,198,182,4315,4315,4315
10,20,182,187,2034,2034,2034
10,21,187,192,10053,10053,10053
10,22,192,193,4157,4157,4157
10,23,193,194,2731,2731,2731
10,24,194,199,135,135,135
10,25,199,201,7367,7367,7367
10,26,201,151,13001,13001,13001
10,27,151,210,75436,75436,75436
10,28,210,211,3345,3345,3345
10,29,211,27,53007,53007,53007
11,1,1,70,26012,26012,26012
11,2,70,298,16558,16558,16558
11,3,298,71,50351,50351,50351
11,4,71,41,21602,21602,21602
11,5,41,45,13550,13550,13550
11,6,45,85,5780,5780,5780
11,7,85,84,13617,13617,13617
11,8,84,142,24630,24630,24630
11,9,142,155,18718,18718,18718
11,10,155,154,7768,7768,7768
11,11,154,160,48527,48527,48527
11,12,160,116,38887,38887,38887
11,13,116,163,1610,1610,1610
11,14,163,162,5196,5196,5196
11,15,162,35,1110,1110,1110
11,16,35,36,17159,17159,17159
11,17,36,37,16582,16582,16582
12,1,1,2,7638,7638,7638
12,2,2,46,47004,47004,47004
13,1,1,70,26012,26012,26012
13,2,70,298,16558,16558,16558
13,3,298,71,50351,50351,50351
13,4,71,41,21602,21602,21602
13,5,41,45,13550,13550,13550
13,6,45,85,5780,5780,5780
13,7,85,84,13617,13617,13617
13,8,84,142,24630,24630,24630
13,9,142,155,18718,18718,18718
13,10,155,154,7768,7768,7768
13,11,154,160,48527,48527,48527
13,12,160,116,38887,38887,38887
13,13,116,163,1610,1610,1610
13,14,163,113,41907,41907,41907
13,15,113,92,25224,25224,25224
13,16,92,106,19559,19559,19559
13,17,106,109,20005,20005,20005
13,18,109,206,7138,7138,7138
13,19,206,205,1135,1135,1135
13,20,205,213,44562,44562,44562
